Directory,Statechart,NumStates,AvgDepth,MaxDepth,StandardEvosuiteCoverage,StandardSCTUnitCoverage,StandardSCTUnitStatus,SimplifiedEvosuiteCoverage,SimplifiedSCTUnitCoverage,SimplifiedSCTUnitStatus
from_other_repos,test_get_statechart_mappings31,3,1.0,1,0.97,1.00,FAILED,0.93,1.00,PASSED
from_other_repos,test_remove_duplicate_transitions,2,1.0,1,0.96,0.00,NOT GENERATED,0.91,0.85,PASSED
from_other_repos,test_remove_duplicate_transitions_expected,2,1.0,1,0.97,0.00,NOT GENERATED,0.92,1.00,PASSED
from_other_repos,test_remove_unnecessary_nesting_orthogonal_state,4,1.5,2,0.96,1.00,FAILED,0.92,1.00,PASSED
from_other_repos,test_remove_unnecessary_nesting_transfer_transitions,3,1.3333333333333333,2,0.78,0.27,FAILED,0.75,0.27,PASSED
from_other_repos,test_remove_unreachable_states_expected,4,1.5,2,0.96,1.00,FAILED,0.93,1.00,PASSED
from_other_repos,test32,2,1.0,1,0.68,0.00,ERRORS,0.91,1.00,PASSED
from_other_repos,test41,4,1.5,2,0.97,0.00,NOT GENERATED,0.85,0.81,PASSED
from_other_repos,Tracker,6,1.5,2,0.50,0.00,ERRORS,0.66,0.30,PASSED
from_other_repos,Update,10,1.0,1,0.48,0.00,PASSED,0.57,0.14,PASSED
